"Dimension","Validation_Cor","Algorithm","Scenario","Fold"
5,0.975330358401995,"MDS","dim5_S_missing",20
5,0.942364542864459,"MDS","dim5_M_missing",1
5,0.952663672810963,"MDS","dim5_M_missing",2
5,0.974873094419535,"MDS","dim5_M_missing",3
5,0.641010220882729,"MDS","dim5_M_missing",4
5,0.989515703657987,"MDS","dim5_M_missing",5
5,0.817397174620219,"MDS","dim5_M_missing",6
5,0.712319755993979,"MDS","dim5_M_missing",7
5,0.902468512977692,"MDS","dim5_M_missing",8
5,0.930915987506479,"MDS","dim5_M_missing",9
5,0.924392843230125,"MDS","dim5_M_missing",10
5,0.990369830493394,"MDS","dim5_M_missing",11
5,0.949590734540266,"MDS","dim5_M_missing",12
5,0.827984118343293,"MDS","dim5_M_missing",13
5,0.783604132123754,"MDS","dim5_M_missing",14
5,0.976469078236722,"MDS","dim5_M_missing",15
5,0.937916986622258,"MDS","dim5_M_missing",16
5,0.97365193157832,"MDS","dim5_M_missing",17
5,0.943468180768426,"MDS","dim5_M_missing",18
5,0.890552204101186,"MDS","dim5_M_missing",19
5,0.977314670700558,"MDS","dim5_M_missing",20
5,0.972924712756718,"MDS","dim5_L_missing",1
5,0.58154202396254,"MDS","dim5_L_missing",2
5,-1,"MDS","dim5_L_missing",3
5,-0.0482933759083713,"MDS","dim5_L_missing",4
5,0.999876688208813,"MDS","dim5_L_missing",5
5,0.562829395607901,"MDS","dim5_L_missing",6
5,0.318722697726025,"MDS","dim5_L_missing",7
5,0.631187523609864,"MDS","dim5_L_missing",8
5,0.467355382701178,"MDS","dim5_L_missing",9
5,0.862385471222882,"MDS","dim5_L_missing",10
5,1,"MDS","dim5_L_missing",11
5,0.853277130270208,"MDS","dim5_L_missing",12
5,1,"MDS","dim5_L_missing",13
5,0.732491803054484,"MDS","dim5_L_missing",14
5,0.962145786943068,"MDS","dim5_L_missing",15
5,0.93157419078252,"MDS","dim5_L_missing",16
5,0.41149203424917,"MDS","dim5_L_missing",17
5,1,"MDS","dim5_L_missing",18
5,1,"MDS","dim5_L_missing",19
5,0.122102419213247,"MDS","dim5_L_missing",20
5,0.981574092329624,"MDS","dim5_S_noise1",1
5,0.97268099514876,"MDS","dim5_S_noise1",2
5,0.985132403066351,"MDS","dim5_S_noise1",3
5,0.988287607865411,"MDS","dim5_S_noise1",4
5,0.987116960353298,"MDS","dim5_S_noise1",5
5,0.985064554769289,"MDS","dim5_S_noise1",6
5,0.962145165325917,"MDS","dim5_S_noise1",7
5,0.977122039579507,"MDS","dim5_S_noise1",8
5,0.975078639483176,"MDS","dim5_S_noise1",9
5,0.988296105873746,"MDS","dim5_S_noise1",10
5,0.987043240653125,"MDS","dim5_S_noise1",11
5,0.929096266411245,"MDS","dim5_S_noise1",12
5,0.939688496736244,"MDS","dim5_S_noise1",13
5,0.965104898172248,"MDS","dim5_S_noise1",14
5,0.964887413214816,"MDS","dim5_S_noise1",15
5,0.943449127296399,"MDS","dim5_S_noise1",16
5,0.977957247565221,"MDS","dim5_S_noise1",17
5,0.948646719485157,"MDS","dim5_S_noise1",18
5,0.97912701157825,"MDS","dim5_S_noise1",19
5,0.945182467558671,"MDS","dim5_S_noise1",20
5,0.887784253795681,"MDS","dim5_M_noise1",1
5,0.739713650238106,"MDS","dim5_M_noise1",2
5,0.968561397642626,"MDS","dim5_M_noise1",3
5,0.748827745188179,"MDS","dim5_M_noise1",4
5,0.952333109458451,"MDS","dim5_M_noise1",5
5,0.957471319636373,"MDS","dim5_M_noise1",6
5,0.863505689520571,"MDS","dim5_M_noise1",7
5,0.910004869131413,"MDS","dim5_M_noise1",8
5,0.971454702421395,"MDS","dim5_M_noise1",9
5,0.935184876709693,"MDS","dim5_M_noise1",10
5,0.964526461079003,"MDS","dim5_M_noise1",11
5,0.947437763902998,"MDS","dim5_M_noise1",12
5,0.978578835132984,"MDS","dim5_M_noise1",13
5,0.954787970304881,"MDS","dim5_M_noise1",14
5,0.344368639804019,"MDS","dim5_M_noise1",15
5,0.837663141987914,"MDS","dim5_M_noise1",16
5,0.961619965314349,"MDS","dim5_M_noise1",17
5,0.938981629414063,"MDS","dim5_M_noise1",18
5,0.934605141693895,"MDS","dim5_M_noise1",19
5,0.98033470944774,"MDS","dim5_M_noise1",20
5,0.890563611687971,"MDS","dim5_L_noise1",1
5,NA,"MDS","dim5_L_noise1",2
5,0.364010909358141,"MDS","dim5_L_noise1",3
5,0.58389294037359,"MDS","dim5_L_noise1",4
5,0.76147289472482,"MDS","dim5_L_noise1",5
5,NA,"MDS","dim5_L_noise1",6
5,0.996563442274375,"MDS","dim5_L_noise1",7
5,0.510164091920148,"MDS","dim5_L_noise1",8
5,0.965907879644873,"MDS","dim5_L_noise1",9
5,1,"MDS","dim5_L_noise1",10
5,0.99711440055199,"MDS","dim5_L_noise1",11
5,0.955090727849337,"MDS","dim5_L_noise1",12
5,0.731571169969362,"MDS","dim5_L_noise1",13
5,0.991142899499225,"MDS","dim5_L_noise1",14
5,1,"MDS","dim5_L_noise1",15
5,0.993078544116596,"MDS","dim5_L_noise1",16
5,0.941417877936599,"MDS","dim5_L_noise1",17
5,0.563469422730035,"MDS","dim5_L_noise1",18
5,1,"MDS","dim5_L_noise1",19
5,0.983316668047219,"MDS","dim5_L_noise1",20
5,0.984209652890581,"MDS","dim5_S_noise_bias",1
5,0.972135821123897,"MDS","dim5_S_noise_bias",2
5,0.981662070878364,"MDS","dim5_S_noise_bias",3
5,0.980356319785345,"MDS","dim5_S_noise_bias",4
5,0.974488709788372,"MDS","dim5_S_noise_bias",5
5,0.972576667949975,"MDS","dim5_S_noise_bias",6
5,0.976990691084901,"MDS","dim5_S_noise_bias",7
5,0.961584283747369,"MDS","dim5_S_noise_bias",8
5,0.959147060704209,"MDS","dim5_S_noise_bias",9
5,0.987242432074127,"MDS","dim5_S_noise_bias",10
5,0.965796886766854,"MDS","dim5_S_noise_bias",11
5,0.986731101098572,"MDS","dim5_S_noise_bias",12
5,0.976513197917763,"MDS","dim5_S_noise_bias",13
5,0.980203804495572,"MDS","dim5_S_noise_bias",14
5,0.967099226269762,"MDS","dim5_S_noise_bias",15
5,0.982290907357653,"MDS","dim5_S_noise_bias",16
5,0.966029686718595,"MDS","dim5_S_noise_bias",17
5,0.972833487106244,"MDS","dim5_S_noise_bias",18
5,0.970912565903107,"MDS","dim5_S_noise_bias",19
5,0.971673508286666,"MDS","dim5_S_noise_bias",20
5,0.771200741799432,"MDS","dim5_M_noise_bias",1
5,0.979571900406016,"MDS","dim5_M_noise_bias",2
5,0.965484904757718,"MDS","dim5_M_noise_bias",3
5,0.948344551325399,"MDS","dim5_M_noise_bias",4
5,0.975660357371018,"MDS","dim5_M_noise_bias",5
5,0.982125740621992,"MDS","dim5_M_noise_bias",6
5,0.750116751454882,"MDS","dim5_M_noise_bias",7
5,0.977635025415518,"MDS","dim5_M_noise_bias",8
5,0.812255191964389,"MDS","dim5_M_noise_bias",9
5,0.960781339444943,"MDS","dim5_M_noise_bias",10
5,0.941201040578526,"MDS","dim5_M_noise_bias",11
5,0.936629116148126,"MDS","dim5_M_noise_bias",12
5,0.970450061415459,"MDS","dim5_M_noise_bias",13
5,0.901725217705446,"MDS","dim5_M_noise_bias",14
5,0.916016556909949,"MDS","dim5_M_noise_bias",15
5,0.951899668745344,"MDS","dim5_M_noise_bias",16
5,0.971486512084734,"MDS","dim5_M_noise_bias",17
5,0.758998651231884,"MDS","dim5_M_noise_bias",18
5,0.97626088616406,"MDS","dim5_M_noise_bias",19
5,0.938526821948473,"MDS","dim5_M_noise_bias",20
5,NA,"MDS","dim5_L_noise_bias",1
5,0.973435507390407,"MDS","dim5_L_noise_bias",2
5,0.466268605281852,"MDS","dim5_L_noise_bias",3
5,1,"MDS","dim5_L_noise_bias",4
5,0.990277218597404,"MDS","dim5_L_noise_bias",5
5,1,"MDS","dim5_L_noise_bias",6
5,1,"MDS","dim5_L_noise_bias",7
5,1,"MDS","dim5_L_noise_bias",8
5,0.614861455607661,"MDS","dim5_L_noise_bias",9
5,0.688817179142191,"MDS","dim5_L_noise_bias",10
5,NA,"MDS","dim5_L_noise_bias",11
5,0.897280620845116,"MDS","dim5_L_noise_bias",12
5,0.963829977491415,"MDS","dim5_L_noise_bias",13
5,0.307544437261674,"MDS","dim5_L_noise_bias",14
5,0.993288273392312,"MDS","dim5_L_noise_bias",15
5,-0.984842647311528,"MDS","dim5_L_noise_bias",16
5,-0.925247660340151,"MDS","dim5_L_noise_bias",17
5,0.178262987723277,"MDS","dim5_L_noise_bias",18
5,1,"MDS","dim5_L_noise_bias",19
5,0.224941201778035,"MDS","dim5_L_noise_bias",20
10,0.993297912101261,"MDS","dim10_S_missing",1
10,0.989797802720174,"MDS","dim10_S_missing",2
10,0.990841930282281,"MDS","dim10_S_missing",3
10,0.984468439702976,"MDS","dim10_S_missing",4
10,0.990616302107004,"MDS","dim10_S_missing",5
10,0.985114478673001,"MDS","dim10_S_missing",6
10,0.993123785220065,"MDS","dim10_S_missing",7
10,0.985520198667267,"MDS","dim10_S_missing",8
10,0.986109081613229,"MDS","dim10_S_missing",9
10,0.983397285211673,"MDS","dim10_S_missing",10
10,0.979178800514633,"MDS","dim10_S_missing",11
10,0.988803855356474,"MDS","dim10_S_missing",12
10,0.982002040276389,"MDS","dim10_S_missing",13
10,0.990461730315621,"MDS","dim10_S_missing",14
10,0.990754736464258,"MDS","dim10_S_missing",15
10,0.97744889066355,"MDS","dim10_S_missing",16
10,0.960534236518317,"MDS","dim10_S_missing",17
10,0.979236941172379,"MDS","dim10_S_missing",18
10,0.986056265753989,"MDS","dim10_S_missing",19
10,0.992831080443585,"MDS","dim10_S_missing",20
10,0.975485018551879,"MDS","dim10_M_missing",1
10,0.965851220156637,"MDS","dim10_M_missing",2
10,0.987141990829732,"MDS","dim10_M_missing",3
10,0.896586308010472,"MDS","dim10_M_missing",4
10,0.988348680219454,"MDS","dim10_M_missing",5
10,0.935890278396282,"MDS","dim10_M_missing",6
10,0.985384684884613,"MDS","dim10_M_missing",7
10,0.90905600835312,"MDS","dim10_M_missing",8
10,0.929720169969611,"MDS","dim10_M_missing",9
10,0.908931411767138,"MDS","dim10_M_missing",10
10,0.931711858298287,"MDS","dim10_M_missing",11
10,0.980912243308251,"MDS","dim10_M_missing",12
10,0.931885301238054,"MDS","dim10_M_missing",13
10,0.960897853020081,"MDS","dim10_M_missing",14
10,0.832595824476871,"MDS","dim10_M_missing",15
10,0.963510667938003,"MDS","dim10_M_missing",16
10,0.974851810116334,"MDS","dim10_M_missing",17
10,0.981694349684102,"MDS","dim10_M_missing",18
10,0.965314872306436,"MDS","dim10_M_missing",19
10,0.943475182216042,"MDS","dim10_M_missing",20
10,0.690414470922155,"MDS","dim10_L_missing",1
10,-0.473389210952374,"MDS","dim10_L_missing",2
10,0.791761881954479,"MDS","dim10_L_missing",3
10,0.811379321393492,"MDS","dim10_L_missing",4
10,0.470659032058033,"MDS","dim10_L_missing",5
10,0.839484221262244,"MDS","dim10_L_missing",6
10,0.526805797772831,"MDS","dim10_L_missing",7
10,0.755758296892091,"MDS","dim10_L_missing",8
10,1,"MDS","dim10_L_missing",9
10,-1,"MDS","dim10_L_missing",10
10,0.920477648922964,"MDS","dim10_L_missing",11
10,1,"MDS","dim10_L_missing",12
10,0.540487428340587,"MDS","dim10_L_missing",13
10,0.551697382412621,"MDS","dim10_L_missing",14
10,0.372004748062663,"MDS","dim10_L_missing",15
10,0.975704613052902,"MDS","dim10_L_missing",16
10,0.976219783720707,"MDS","dim10_L_missing",17
10,0.721131863478665,"MDS","dim10_L_missing",18
10,1,"MDS","dim10_L_missing",19
10,0.950318642169662,"MDS","dim10_L_missing",20
10,0.987545535318965,"MDS","dim10_S_noise1",1
10,0.991259025388628,"MDS","dim10_S_noise1",2
10,0.990758770181258,"MDS","dim10_S_noise1",3
10,0.983835012784404,"MDS","dim10_S_noise1",4
10,0.988961041872784,"MDS","dim10_S_noise1",5
10,0.990881602141765,"MDS","dim10_S_noise1",6
10,0.987221520141927,"MDS","dim10_S_noise1",7
10,0.984205287026327,"MDS","dim10_S_noise1",8
10,0.981121041169483,"MDS","dim10_S_noise1",9
10,0.988889957769818,"MDS","dim10_S_noise1",10
10,0.980060479660366,"MDS","dim10_S_noise1",11
10,0.989447342529172,"MDS","dim10_S_noise1",12
10,0.987618986711523,"MDS","dim10_S_noise1",13
10,0.968837007668129,"MDS","dim10_S_noise1",14
10,0.9833620119193,"MDS","dim10_S_noise1",15
10,0.979472957248691,"MDS","dim10_S_noise1",16
10,0.968763861872783,"MDS","dim10_S_noise1",17
10,0.974724656004239,"MDS","dim10_S_noise1",18
10,0.987103159874935,"MDS","dim10_S_noise1",19
10,0.984283556649106,"MDS","dim10_S_noise1",20
10,0.984848086049356,"MDS","dim10_M_noise1",1
10,0.978276488068769,"MDS","dim10_M_noise1",2
10,0.95537508002047,"MDS","dim10_M_noise1",3
10,0.963368273481729,"MDS","dim10_M_noise1",4
10,0.911438961145036,"MDS","dim10_M_noise1",5
10,0.817547927616067,"MDS","dim10_M_noise1",6
10,0.965854575418445,"MDS","dim10_M_noise1",7
10,0.962266959539334,"MDS","dim10_M_noise1",8
10,0.980897643486057,"MDS","dim10_M_noise1",9
10,0.965267814466972,"MDS","dim10_M_noise1",10
10,0.944160046798737,"MDS","dim10_M_noise1",11
10,0.979445492343267,"MDS","dim10_M_noise1",12
10,0.987627790416263,"MDS","dim10_M_noise1",13
10,0.975817236814559,"MDS","dim10_M_noise1",14
10,0.888670352490905,"MDS","dim10_M_noise1",15
10,0.977889427707129,"MDS","dim10_M_noise1",16
10,0.90281913692726,"MDS","dim10_M_noise1",17
10,0.96871962780714,"MDS","dim10_M_noise1",18
10,0.969273309875151,"MDS","dim10_M_noise1",19
10,0.974543747195977,"MDS","dim10_M_noise1",20
10,0.958305066621848,"MDS","dim10_L_noise1",1
10,1,"MDS","dim10_L_noise1",2
10,NA,"MDS","dim10_L_noise1",3
10,-0.167955687676572,"MDS","dim10_L_noise1",4
10,1,"MDS","dim10_L_noise1",5
10,0.891578041757227,"MDS","dim10_L_noise1",6
10,0.96283590326752,"MDS","dim10_L_noise1",7
10,0.73252814668158,"MDS","dim10_L_noise1",8
10,0.986260416557613,"MDS","dim10_L_noise1",9
10,1,"MDS","dim10_L_noise1",10
10,1,"MDS","dim10_L_noise1",11
10,0.953360019983697,"MDS","dim10_L_noise1",12
10,0.999532158795345,"MDS","dim10_L_noise1",13
10,NA,"MDS","dim10_L_noise1",14
10,0.997556484843059,"MDS","dim10_L_noise1",15
10,0.873914821102925,"MDS","dim10_L_noise1",16
10,0.554151368006745,"MDS","dim10_L_noise1",17
10,NA,"MDS","dim10_L_noise1",18
10,0.827807088703963,"MDS","dim10_L_noise1",19
10,-0.211745728453238,"MDS","dim10_L_noise1",20
10,0.990318565797886,"MDS","dim10_S_noise_bias",1
10,0.988436515609691,"MDS","dim10_S_noise_bias",2
10,0.992899407133829,"MDS","dim10_S_noise_bias",3
10,0.982955722880662,"MDS","dim10_S_noise_bias",4
10,0.964339958739962,"MDS","dim10_S_noise_bias",5
10,0.983919644615767,"MDS","dim10_S_noise_bias",6
10,0.960357909769427,"MDS","dim10_S_noise_bias",7
10,0.991312935360956,"MDS","dim10_S_noise_bias",8
10,0.981717347599134,"MDS","dim10_S_noise_bias",9
10,0.983055592427221,"MDS","dim10_S_noise_bias",10
10,0.978129023149171,"MDS","dim10_S_noise_bias",11
10,0.966227074815677,"MDS","dim10_S_noise_bias",12
10,0.98106438488239,"MDS","dim10_S_noise_bias",13
10,0.995829568169443,"MDS","dim10_S_noise_bias",14
10,0.990244069105081,"MDS","dim10_S_noise_bias",15
10,0.988931852718331,"MDS","dim10_S_noise_bias",16
10,0.989407787116107,"MDS","dim10_S_noise_bias",17
10,0.98232468440854,"MDS","dim10_S_noise_bias",18
10,0.993234497261224,"MDS","dim10_S_noise_bias",19
10,0.96826826549585,"MDS","dim10_S_noise_bias",20
10,0.935147561418006,"MDS","dim10_M_noise_bias",1
10,0.991603120003237,"MDS","dim10_M_noise_bias",2
10,0.957172354805131,"MDS","dim10_M_noise_bias",3
10,0.933197119342066,"MDS","dim10_M_noise_bias",4
10,0.989215257451532,"MDS","dim10_M_noise_bias",5
10,0.988697066969117,"MDS","dim10_M_noise_bias",6
10,0.9486737984548,"MDS","dim10_M_noise_bias",7
10,0.97461657382454,"MDS","dim10_M_noise_bias",8
10,0.926399159378225,"MDS","dim10_M_noise_bias",9
10,0.833042622682557,"MDS","dim10_M_noise_bias",10
10,0.938698655073449,"MDS","dim10_M_noise_bias",11
10,0.969786371939884,"MDS","dim10_M_noise_bias",12
10,0.969711345958748,"MDS","dim10_M_noise_bias",13
10,0.94053022695936,"MDS","dim10_M_noise_bias",14
10,0.916805966072869,"MDS","dim10_M_noise_bias",15
10,0.9957571378639,"MDS","dim10_M_noise_bias",16
10,0.93174662403878,"MDS","dim10_M_noise_bias",17
10,0.79768235610642,"MDS","dim10_M_noise_bias",18
10,0.894283003872608,"MDS","dim10_M_noise_bias",19
10,0.973311932367798,"MDS","dim10_M_noise_bias",20
